print_page,year,word_count,gender,,,,,,,,,,,,,,,,,
11,1996,572,male,,,,,,,,,,,,,,,,,
12,1996,540,male,,,,,,,,,,,,,,,,,
21,1996,280,male,,,,,,,,,,,,,,,,,
22,1996,795,male,,,,,,,,,,,,,,,,,
24,1996,209,male,,,,,,,,,,,,,,,,,
11,1996,360,male,,,,,,,,,,,,,,,,,
27,1996,357,female,,,,,,,,,,,,,,,,,
22,1996,145,male,,,,,,,,,,,,,,,,,
41,1996,199,male,,,,,,,,,,,,,,,,,
12,1996,325,male,,,,,,,,,,,,,,,,,
43,1996,1184,male,,,,,,,,,,,,,,,,,
12,1996,395,male,,,,,,,,,,,,,,,,,
23,1996,360,male,,,,,,,,,,,,,,,,,
6,1996,163,male,,,,,,,,,,,,,,,,,
16,1996,314,male,,,,,,,,,,,,,,,,,
18,1996,744,male,,,,,,,,,,,,,,,,,
13,1996,195,male,,,,,,,,,,,,,,,,,
56,1996,435,male,,,,,,,,,,,,,,,,,
11,1996,251,male,,,,,,,,,,,,,,,,,
6,1996,650,male,,,,,,,,,,,,,,,,,
7,1996,172,female,,,,,,,,,,,,,,,,,
7,1996,184,male,,,,,,,,,,,,,,,,,
27,1996,422,male,,,,,,,,,,,,,,,,,
48,1996,322,male,,,,,,,,,,,,,,,,,
8,1996,201,male,,,,,,,,,,,,,,,,,
41,1996,780,male,,,,,,,,,,,,,,,,,
7,1996,971,male,,,,,,,,,,,,,,,,,
44,1996,725,male,,,,,,,,,,,,,,,,,
35,1996,183,female,,,,,,,,,,,,,,,,,
31,1996,285,male,,,,,,,,,,,,,,,,,
19,1996,737,male,,,,,,,,,,,,,,,,,
30,1996,222,male,,,,,,,,,,,,,,,,,
30,1996,321,male,,,,,,,,,,,,,,,,,
8,1996,504,male,,,,,,,,,,,,,,,,,
29,1996,251,male,,,,,,,,,,,,,,,,,
9,1996,325,male,,,,,,,,,,,,,,,,,
39,1996,170,male,,,,,,,,,,,,,,,,,
50,1996,180,male,,,,,,,,,,,,,,,,,
12,1996,495,male,,,,,,,,,,,,,,,,,
12,1996,189,male,,,,,,,,,,,,,,,,,
18,1996,609,male,,,,,,,,,,,,,,,,,
10,1996,249,female,,,,,,,,,,,,,,,,,
7,1996,509,male,,,,,,,,,,,,,,,,,
44,1996,381,male,,,,,,,,,,,,,,,,,
6,1996,222,female,,,,,,,,,,,,,,,,,
14,1996,669,male,,,,,,,,,,,,,,,,,
12,1996,301,male,,,,,,,,,,,,,,,,,
10,1996,260,male,,,,,,,,,,,,,,,,,
46,1996,336,male,,,,,,,,,,,,,,,,,
7,1996,692,male,,,,,,,,,,,,,,,,,
6,1996,669,male,,,,,,,,,,,,,,,,,
11,1996,627,male,,,,,,,,,,,,,,,,,
10,1996,346,male,,,,,,,,,,,,,,,,,
7,1996,190,male,,,,,,,,,,,,,,,,,
23,1996,300,male,,,,,,,,,,,,,,,,,
33,1996,83,male,,,,,,,,,,,,,,,,,
46,1996,748,male,,,,,,,,,,,,,,,,,
20,1996,647,female,,,,,,,,,,,,,,,,,
7,1996,284,male,,,,,,,,,,,,,,,,,
21,1996,279,male,,,,,,,,,,,,,,,,,
21,1996,149,female,,,,,,,,,,,,,,,,,
21,1996,404,male,,,,,,,,,,,,,,,,,
48,1996,637,male,,,,,,,,,,,,,,,,,
7,1996,214,male,,,,,,,,,,,,,,,,,
32,1996,114,male,,,,,,,,,,,,,,,,,
12,1996,224,male,,,,,,,,,,,,,,,,,
